item_code,description,unit_price,volume_per_unit,weight_per_unit
CA045PLX,u/b storage cabinet with 1 adjustable shelf  & 1 door  450mm wide,752.0,0.49,0
CA045PLXL,u/b storage cabinet with 1 adjustable shelf  & 1 door  450mm wide with lock,752.0,0.49,0
CA045VH,u/b storage cabinet with 1 adjustable shelf  &1door  450mm wide,752.0,0.51,0
CA045VHL,u/b storage cabinet with 1 adjustable shelf  & 1 door  450mm wide with lock,752.0,0.51,0
CA045VHX,u/b storage cabinet with 1 adjustable shelf  & 1 door  450mm wide,752.0,0.46,0
CA045VHXL,u/b storage cabinet with 1 adjustable shelf  & 1 door  450mm wide with lock,752.0,0.46,0
CA045VL,u/b storage cabinet with 1 adjustable shelf  & 1 door  450mm wide,752.0,0.44,0
CA045VLL,u/b storage cabinet with 1 adjustable shelf  & 1 door  450mm wide with lock,752.0,0.44,0
CA045VLX,u/b storage cabinet with 1 adjustable shelf  & 1 door  450mm wide,752.0,0.39,0
CA045VLXL,u/b storage cabinet with 1 adjustable shelf  &1door  450mm wide with lock,752.0,0.39,0
CA050FH,u/b storage cabinet with 1 adjustable shelf  & 1 door 500mm wide,752.0,0.5,0
CA050FHL,u/b storage cabinet with 1 adjustable shelf  & 1 door 500mm wide with lock,752.0,0.5,0
CA050FL,u/b storage cabinet with 1 adjustable shelf  & 1 door  500mm wide,752.0,0.4,0
CA050FLL,u/b storage cabinet with 1 adjustable shelf  &1door  500mm wide with lock,752.0,0.4,0
CA050PH,u/b storage cabinet with 1 adjustable shelf  & 1 door 500mm wide,752.0,0.72,0
CA050PHL,u/b storage cabinet with 1 adjustable shelf  &1door 500mm wide with lock,752.0,0.72,0
CA050PHX,u/b storage cabinet with 1 adjustable shelf  & 1 door  500mm wide,752.0,0.65,0
CA050PHXL,u/b storage cabinet with 1 adjustable shelf  &1door  500mm wide with lock,752.0,0.65,0
CA050PL,u/b storage cabinet with 1 adjustable shelf   & 1 door  500mm wide,752.0,0.64,0
CA050PLL,u/b storage cabinet with 1 adjustable shelf   & 1 door  500mm wide with lock,752.0,0.64,0
CA050PLX,u/b storage cabinet with 1 adjustable shelf & 1 door 500mm wide,752.0,0.57,0
CA050PLXL,u/b storage cabinet with 1 adjustable shelf & 1 door 500mm wide with lock,752.0,0.57,0
CA050VH,u/b storage cabinet with 1 adjustable shelf & door 500mm wide,752.0,0.6,0
CA050VHL,u/b storage cabinet with 1 adjustable shelf & 1 door 500mm wide with lock,752.0,0.6,0
CA050VHX,u/b storage cabinet with 1 adjustable shelf & 1 door 500mm wide,752.0,0.55,0
CA050VHXL,u/b storage cabinet with 1 adjustable shelf & 1door 500mm wide with lock,752.0,0.55,0
CA050VL,u/b storage cabinet with 1 adjustable shelf  & 1 door 500mm wide,752.0,0.52,0
CA050VLL,u/b storage cabinet with 1 adjustable shelf  & 1 door 500mm wide with lock,752.0,0.52,0
CA050VLX,u/b storage cabinet with 1 adjustable shelf  & 1 door 500mm wide,752.0,0.47,0
CA050VLXL,u/b storage cabinet with 1 adjustable shelf  & 1 door 500mm wide,752.0,0.47,0
CA060FH,u/b storage cabinet with 1 adjustable shelf  & 1 door 600mm wide,752.0,0.5,0
CA060FHL,u/b storage cabinet with 1 adjustable shelf  & 1 door 600mm wide with lock,752.0,0.5,0
CA060FL,u/b storage cabinet with 1 adjustable shelf  & 1 door  600mm wide,752.0,0.4,0
CA060FLL,u/b storage cabinet with 1 adjustable shelf  &1door  600mm wide with lock,752.0,0.4,0
CA060PH,u/b storage cabinet with 1 adjustable shelf  & 1 door 600mm wide,752.0,0.72,0
CA060PHL,u/b storage cabinet with 1 adjustable shelf  & 1door 600mm wide with lock,752.0,0.72,0
CA060PHX,u/b storage cabinet with 1 adjustable shelf  & 1 door  600mm wide,752.0,0.65,0
CA060PHXL,u/b storage cabinet with 1 adjustable shelf  &1door  600mm wide with lock,752.0,0.65,0
CA060PL,u/b storage cabinet with 1 adjustable shelf   & 1 door  600mm wide,752.0,0.64,0
CA060PLL,u/b storage cabinet with 1 adjustable shelf   & 1 door  600mm wide with lock,752.0,0.64,0
CA060PLX,u/b storage cabinet with 1 adjustable shelf & 1 door 600mm wide,752.0,0.57,0
CA060PLXL,u/b storage cabinet with 1 adjustable shelf & 1 door 600mm wide with lock,752.0,0.57,0
CA060VH,u/b storage cabinet with 1 adjustable shelf & door 600mm wide,752.0,0.6,0
CA060VHL,u/b storage cabinet with 1 adjustable shelf & 1 door 600mm wide with lock,752.0,0.6,0
CA060VHX,u/b storage cabinet with 1 adjustable shelf & 1 door 600mm wide,752.0,0.55,0
CA060VHXL,u/b storage cabinet with 1 adjustable shelf & 1door 600mm wide with lock,752.0,0.55,0
CA060VL,u/b storage cabinet with 1 adjustable shelf  & 1 door 600mm wide,752.0,0.52,0
CA060VLL,u/b storage cabinet with 1 adjustable shelf  & 1 door 600mm wide with lock,752.0,0.52,0
CA060VLX,u/b storage cabinet with 1 adjustable shelf  & 1 door 600mm wide,752.0,0.47,0
CA060VLXL,u/b storage cabinet with 1 adjustable shelf  & 1 door 600mm wide,752.0,0.47,0
CA090FH,u/b storage cabinet with 1 adjustable shelf & 2 doors 900mm wide,752.0,0.62,0
CA090FHL,u/b storage cabinet with 1 adjustable shelf & 2 doors 900mm wide with lock,752.0,0.62,0
CA090FL,u/b storage cabinet with 1 adjustable shelf & 2 doors 900mm wide,756.0,0.53,0
CA090FLL,u/b storage cabinet with 1 adjustable shelf & 2 doors 900mm wide with lock,756.0,0.53,0
CA090PH,u/b storage cabinet with 1 adjustable shelf & 2 doors 900mm wide,752.0,0.93,0
CA090PHL,u/b storage cabinet with 1 adjustable shelf & 2 doors 900mm wide with lock,752.0,0.93,0
CA090PHX,u/b storage cabinet with 1 adjustable shelf & 2 doors 900mm wide,752.0,0.85,0
CA090PHXL,u/b storage cabinet with 1 adjustable shelf & 2 doors 900mm wide with lock,752.0,0.85,0
CA090PL,u/b storage cabinet with 1 adjustable shelf & 2 doors 900mm wide,752.0,0.83,0
CA090PLL,u/b storage cabinet with 1 adjustable shelf & 2 doors 900mm wide with lock,752.0,0.83,0
CA090PLX,u/b storage cabinet with 1 adjustable shelf & 2 doors 900mm wide,752.0,0.75,0
CA090PLXL,u/b storage cabinet with 1 adjustable shelf & 2 doors 900mm wide with lock,752.0,0.75,0
CA090VH,u/b storage cabinet with 1 adjustable shelf & 2 doors 900mm wide,752.0,0.82,0
ca090vhl,u/b storage cabinet with 1 adjustable shelf & 2 doors 900mm wide with lock,242.0,0.37,0.0
CA090VHX,u/b storage cabinet with 1 adjustable shelf & 2 doors 900mm wide,752.0,0.75,0
CA090VHXL,u/b storage cabinet with 1 adjustable shelf & 2 doors 900mm wide with lock,752.0,0.75,0
CA090VL,u/b storage cabinet with 1 adjustable shelf & 2 doors 900mm wide,752.0,0.72,0
CA090VLL,u/b storage cabinet with 1 adjustable shelf & 2 doors 900mm wide with lock,752.0,0.72,0
CA090VLX,u/b storage cabinet with 1 adjustable shelf & 2 doors 900mm wide,752.0,0.65,0
CA090VLXL,u/b storage cabinet with 1 adjustable shelf & 2 doors 900mm wide with lock,752.0,0.65,0
CA093VHXL,,0.0,0.0,0.0
CA100FH,u/b storage cabinet with 1 adjustable shelf & 2 doors 1000mm wide,752.0,0.77,0
CA100FHL,u/b storage cabinet with 1 adjustable shelf & 2 doors 1000mm wide with lock,752.0,0.77,0
CA100FL,u/b storage cabinet with 1 adjustable shelf & 2 doors 1000mm wide,752.0,0.66,0
CA100FLL,u/b storage cabinet with 1 adjustable shelf & 2 doors 1000mm wide with lock,752.0,0.66,0
CA100PH,u/b storage cabinet with 1 adjustable shelf & 2 doors 1000mm wide,752.0,1.14,0
CA100PHL,u/b storage cabinet with 1 adjustable shelf & 2 doors 1000mm wide with lock,752.0,1.14,0
CA100PHX,u/b storage cabinet with 1 adjustable shelf & 2 doors 1000mm wide,752.0,1.04,0
CA100PHXL,u/b storage cabinet with 1 adjustable shelf & 2 doors 1000mm wide with lock,752.0,1.04,0
CA100PL,u/b storage cabinet with 1 adjustable shelf & 2 doors 1000mm wide,752.0,1.02,0
CA100PLL,u/b storage cabinet with 1 adjustable shelf & 2 doors 1000mm wide with lock,752.0,1.02,0
CA100PLX,u/b storage cabinet with 1 adjustable shelf & 2 doors 1000mm wide,752.0,0.93,0
CA100PLXL,u/b storage cabinet with 1 adjustable shelf & 2 doors 1000mm wide with lock,752.0,0.93,0
CA100VH,u/b storage cabinet with 1 adjustable shelf & 2 doors 1000mm wide,752.0,1.02,0
CA100VHL,u/b storage cabinet with 1 adjustable shelf & 2 doors 1000mm wide with lock,752.0,1.02,0
CA100VHX,u/b storage cabinet with 1 adjustable shelf & 2 doors 1000mm wide,752.0,0.93,0
CA100VHXL,u/b storage cabinet with 1 adjustable shelf & 2 doors 1000mm wide with lock,752.0,0.93,0
CA100VL,u/b storage cabinet with 1 adjustable shelf & 2 doors 1000mm wide,752.0,0.9,0
CA100VLL,u/b storage cabinet with 1 adjustable shelf & 2 doors 1000mm wide with lock,752.0,0.9,0
CA100VLX,u/b storage cabinet with 1 adjustable shelf & 2 doors 1000mm wide,752.0,0.82,0
CA100VLXL,u/b storage cabinet with 1 adjustable shelf & 2 doors 1000mm wide with lock,752.0,0.82,0
CA120FH,u/b storage cabinet with 1 adjustable shelf & 2 doors 1200mm wide,752.0,0.77,0
CA120FHL,u/b storage cabinet with 1 adjustable shelf & 2 doors 1200mm wide with lock,752.0,0.77,0
CA120FL,u/b storage cabinet with 1 adjustable shelf & 2 doors 1200mm wide,752.0,0.66,0
CA120FLL,u/b storage cabinet with 1 adjustable shelf & 2 doors 1200mm wide with lock,752.0,0.66,0
CA120PH,u/b storage cabinet with 1 adjustable shelf & 2 doors 1200mm wide,752.0,1.14,0
CA120PHL,u/b storage cabinet with 1 adjustable shelf & 2 doors 1200mm wide with lock,752.0,1.14,0
CA120PHX,u/b storage cabinet with 1 adjustable shelf & 2 doors 1200mm wide,752.0,1.04,0
CA120PHXL,u/b storage cabinet with 1 adjustable shelf & 2 doors 1200mm wide with lock,752.0,1.04,0
CA120PL,u/b storage cabinet with 1 adjustable shelf & 2 doors 1200mm wide,752.0,1.02,0
CA120PLL,u/b storage cabinet with 1 adjustable shelf & 2 doors 1200mm wide with lock,752.0,1.02,0
CA120PLX,u/b storage cabinet with 1 adjustable shelf & 2 doors 1200mm wide,752.0,0.93,0
CA120PLXL,u/b storage cabinet with 1 adjustable shelf & 2 doors 1200mm wide with lock,752.0,0.93,0
CA120VH,u/b storage cabinet with 1 adjustable shelf & 2 doors 1200mm wide,752.0,1.02,0
ca120vhl,u/b storage cabinet with 1 adjustable shelf & 2 doors 1200mm wide with lock,303.0,0.49,0.0
CA120VHX,u/b storage cabinet with 1 adjustable shelf & 2 doors 1200mm wide,752.0,0.93,0
CA120VHXL,u/b storage cabinet with 1 adjustable shelf & 2 doors 1200mm wide with lock,752.0,0.93,0
CA120VL,u/b storage cabinet with 1 adjustable shelf & 2 doors 1200mm wide,752.0,0.9,0
CA120VLL,u/b storage cabinet with 1 adjustable shelf & 2 doors 1200mm wide with lock,752.0,0.9,0
CA120VLX,u/b storage cabinet with 1 adjustable shelf & 2 doors 1200mm wide,752.0,0.82,0
CA120VLXL,u/b storage cabinet with 1 adjustable shelf & 2 doors 1200mm wide with lock,752.0,0.82,0
CAB090FH,"u/b combined cabinet with 2 doors, 2 adjustable shelves and 1 drawer 900mm wide",752.0,1.25,0
CAB090FHL,"u/b combined cabinet with 2 doors, 2 adjustable shelves and 1 drawer 900mm wide with lock",752.0,1.25,0
CAB090FL,"u/b combined cabinet with 2 doors, 2 adjustable shelves and 1 drawer 900mm wide",752.0,1.25,0
CAB090FLL,"u/b combined cabinet with 2 doors, 2 adjustable shelves and 1 drawer 900mm wide with lock",752.0,1.25,0
CAB090PH,"u/b combined cabinet with 2 doors, 2 adjustable shelves and 1 drawer 900mm wide",752.0,1.25,0
CAB090PHL,"u/b combined cabinet with 2 doors, 2 adjustable shelves and 1 drawer 900mm wide with lock",752.0,1.25,0
CAB090PHX,"u/b combined cabinet with 2 doors, 2 adjustable shelves and 1 drawer 900mm wide",752.0,1.25,0
CAB090PHXL,"u/b combined cabinet with 2 doors, 2 adjustable shelves and 1 drawer 900mm wide with lock",752.0,1.25,0
CAB090PL,"u/b combined cabinet with 2 doors, 2 adjustable shelves and 1 drawer 900mm wide",752.0,1.25,0
CAB090PLL,"u/b combined cabinet with 2 doors, 2 adjustable shelves and 1 drawer 900mm wide with lock",752.0,1.25,0
CAB090PLX,"u/b combined cabinet with 2 doors, 2 adjustable shelves and 1 drawer 900mm wide",752.0,0.75,0
CAB090PLXL,"u/b combined cabinet with 2 doors, 2 adjustable shelves and 1 drawer 900mm wide with lock",752.0,0.75,0
CAB090VH,"u/b combined cabinet with 2 doors, 2 adjustable shelves & 1 drawer 900mm wide",752.0,1.0,0
CAB090VHL,"u/b combined cabinet with 2 doors, 2 adjustable shelves & 1 drawer 900mm wide with lock",752.0,1.0,0
CAB090VHX,"u/b combined cabinet with 2 doors, 2 adjustable shelves & 1 drawer 900mm wide",752.0,1.0,0
CAB090VHXL,"u/b combined cabinet with 2 doors, 2 adjustable shelves & 1 drawer 900mm wide with lock",752.0,1.0,0
CAB090VL,"u/b combined cabinet with 2 doors, 2 adjustable shelves & 1 drawer 900mm wide",752.0,1.0,0
CAB090VLL,"u/b combined cabinet with 2 doors, 2 adjustable shelves & 1 drawer 900mm wide with lock",752.0,1.0,0
CAB090VLX,"u/b combined cabinet with 2 doors, 2 adjustable shelves & 1 drawer 900mm wide",752.0,0.75,0
